,Date,Open,High,Low,Close,Volume,Volume MA,Daily_Returns
6945,1523458800,1.2384,1.2391,1.23796,1.23837,12186,6316.5,-2.4224806201567084e-05
6946,1523462400,1.23837,1.23852,1.23714,1.237505,9145,6712.8,-0.000698498833143435
6947,1523466000,1.237505,1.23784,1.23684,1.237175,6872,7009.85,-0.0002666655892300529
6948,1523469600,1.237175,1.23738,1.23468,1.236285,11656,7540.5,-0.0007193808474951213
6949,1523473200,1.236285,1.23668,1.23598,1.236145,5897,7755.65,-0.00011324249667354902
6950,1523487600,1.23702,1.23724,1.23678,1.23719,873,7461.05,0.0008453700819888166
6951,1523494800,1.23762,1.23782,1.236715,1.236975,3094,7580.3,-0.0001737809067322571
6952,1523502000,1.236535,1.237,1.23626,1.236895,2662,6833.55,-6.467390205933121e-05
6953,1523509200,1.23581,1.23608,1.23555,1.235705,3338,6345.2,-0.000962086515023497
6954,1523512800,1.235705,1.23741,1.23534,1.2363,7854,6395.95,0.00048150650843026277
6955,1523516400,1.2363,1.23718,1.23595,1.236895,10648,6297.95,0.00048127477149573217
6956,1523520000,1.236895,1.23734,1.2345,1.234645,8992,6091.5,-0.0018190711418512029
6957,1523523600,1.234645,1.23466,1.2331,1.234065,12445,6229.4,-0.0004697706628221665
6958,1523527200,1.234065,1.23429,1.23274,1.233805,9308,6013.1,-0.00021068582286987159
6959,1523530800,1.233805,1.23518,1.23202,1.232135,15882,6197.9,-0.0013535364178294262
6960,1523534400,1.232135,1.23276,1.23122,1.231595,13607,6421.0,-0.0004382636642900062
6961,1523538000,1.231595,1.23201,1.23005,1.230675,14703,6812.55,-0.0007469988104855663
6962,1523541600,1.230675,1.2318,1.22996,1.231715,14577,6958.6,0.0008450647002660183
6963,1523545200,1.231715,1.23234,1.2307,1.231805,10789,7203.2,7.306885115476724e-05
6964,1523548800,1.231805,1.23361,1.2315,1.233405,6456,7433.75,0.0012989068886715138
6965,1523552400,1.233405,1.234,1.23284,1.23334,8498,7733.2,-5.269964042631248e-05
6966,1523559600,1.233025,1.23314,1.23256,1.2326,3065,8039.25,-0.000599996756774468
6967,1523577600,1.232965,1.23332,1.2326,1.232825,3352,7612.75,0.00018254097030667715
6968,1523584800,1.2323,1.23306,1.23212,1.23297,2933,7379.35,0.00011761604445070795
6969,1523599200,1.232785,1.23308,1.23174,1.232305,11942,6134.55,-0.0005393480782175386
6970,1523602800,1.232305,1.23438,1.23202,1.23412,12471,5964.0,0.0014728496597840035
6971,1523606400,1.23412,1.23462,1.2329,1.233485,10118,5789.55,-0.0005145366739054413
6972,1523610000,1.233485,1.23401,1.23295,1.23345,7915,5450.15,-2.8374889033955242e-05
6973,1523613600,1.23345,1.23391,1.2322,1.232275,7084,5075.5,-0.0009526125907007854
6974,1523617200,1.232275,1.23232,1.23072,1.231225,10940,5083.05,-0.0008520825302793522
6975,1523620800,1.231225,1.2325,1.23092,1.2316,6229,5071.7,0.0003045747121768194
6976,1523624400,1.2316,1.23316,1.23156,1.23245,7978,5045.7,0.0006901591425787501
6977,1523628000,1.23245,1.23336,1.23204,1.2328,11194,5355.35,0.0002839871800071059
6978,1523631600,1.2328,1.23323,1.23193,1.232105,9086,5656.4,-0.0005637573004542151
6979,1523635200,1.232105,1.23442,1.23196,1.2342,7012,5911.55,0.0017003420974672778
6980,1523642400,1.23364,1.23364,1.23288,1.23314,4236,6320.65,-0.0008588559390698691
6981,1523646000,1.23314,1.23418,1.23312,1.2337,6588,6609.1,0.0004541252412542107
6982,1523836800,1.23314,1.23404,1.23308,1.23395,3261,6420.6,0.00020264245764778366
6983,1523847600,1.23403,1.23412,1.23376,1.23384,1519,5420.25,-8.914461688080966e-05
6984,1523858400,1.233,1.23388,1.23243,1.23274,8410,4725.5,-0.0008915256435194641
6985,1523862000,1.23274,1.23602,1.23262,1.23566,11255,4741.25,0.0023687071077438393
6986,1523865600,1.23566,1.23688,1.2353,1.23643,9536,4906.6,0.0006231487626044974
6987,1523869200,1.23643,1.23742,1.23569,1.23644,7777,4896.55,8.087801169454067e-06
6988,1523872800,1.23644,1.2366,1.23593,1.23645,6104,4642.05,8.087735757555947e-06
6989,1523880000,1.23698,1.23831,1.23584,1.23812,9394,4568.25,0.0013506409478749593
6990,1523883600,1.23812,1.23944,1.23778,1.23892,10634,4852.05,0.0006461409233353699
6991,1523887200,1.23892,1.23922,1.23666,1.23673,12935,5287.0,-0.00176766861459976
6992,1523890800,1.23673,1.23732,1.23622,1.2373,9029,5409.05,0.000460892838372029
6993,1523894400,1.2373,1.23856,1.23691,1.23825,5881,5607.65,0.0007678008567040262
6994,1523901600,1.23769,1.2383,1.23762,1.23814,3060,5815.45,-8.883504946499698e-05
6995,1523916000,1.23802,1.2384,1.23789,1.23816,994,5669.15,1.615326215120838e-05
6996,1523926800,1.23833,1.23883,1.23799,1.2381,2832,5765.0,-4.8459003682888024e-05
6997,1523937600,1.23816,1.23864,1.23806,1.23824,1647,4635.55,0.00011307648816738514
6998,1523944800,1.23884,1.24046,1.23853,1.24017,9463,4541.15,0.0015586639100659827
6999,1523948400,1.24017,1.2414,1.2395,1.24026,10680,4813.75,7.257069595301147e-05
